gene_id	WT_sIM_rep4	WT_sFM_rep3
gene:Solyc00g500284.1	0.0	0.0
gene:Solyc00g500285.1	0.0	0.0
gene:Solyc00g500286.1	0.0	0.0
gene:Solyc00g500287.1	0.0	0.0
gene:Solyc00g500288.1	0.0	0.0
gene:Solyc00g500289.1	0.0	0.0
gene:Solyc00g500290.2	0.17	0.02
gene:Solyc00g500291.1	0.02	0.0
gene:Solyc00g500292.1	0.64	0.0
gene:Solyc00g500293.1	0.0	0.0
gene:Solyc00g500294.1	0.04	0.0
gene:Solyc00g500295.1	0.08	0.11
gene:Solyc00g500296.1	0.56	0.09
gene:Solyc00g500297.1	0.94	1.86
gene:Solyc00g500298.1	1.0	1.08
gene:Solyc00g500299.1	0.0	0.0
gene:Solyc00g500300.1	0.0	0.0
gene:Solyc00g500301.1	0.11	0.0
gene:Solyc00g500302.1	0.86	0.0
gene:Solyc00g500303.1	0.79	0.25
gene:Solyc00g500304.1	0.0	0.0
gene:Solyc00g500305.1	0.0	0.0
gene:Solyc00g500306.1	0.0	0.0
gene:Solyc00g500307.1	0.0	0.0
gene:Solyc00g500308.1	0.0	0.0
gene:Solyc00g500310.1	0.0	0.0
gene:Solyc00g500311.2	0.0	0.0
gene:Solyc00g500312.1	0.0	0.0
gene:Solyc00g500313.1	6.47	0.0
gene:Solyc00g500314.1	0.45	0.0
gene:Solyc00g500315.1	0.25	0.71
gene:Solyc00g500316.1	0.81	0.0
gene:Solyc00g500317.1	0.0	0.0
gene:Solyc00g500318.1	0.24	0.0
gene:Solyc00g500319.1	0.0	0.02
gene:Solyc00g500320.1	0.02	0.0
gene:Solyc00g500321.1	0.0	0.0
gene:Solyc00g500322.1	1.83	1.65
gene:Solyc00g500323.1	0.0	0.39
gene:Solyc00g500324.1	0.1	0.0
gene:Solyc00g500325.1	0.11	0.0
gene:Solyc00g500326.1	0.0	0.0
gene:Solyc00g500327.1	0.0	0.01
gene:Solyc00g500328.1	0.83	1.7
gene:Solyc00g500329.1	0.56	0.09
gene:Solyc00g500330.1	0.08	0.11
gene:Solyc00g500331.1	0.13	0.0
gene:Solyc00g500332.1	0.0	0.57
gene:Solyc00g500333.1	0.0	0.0
gene:Solyc00g500334.1	0.0	0.0
gene:Solyc00g500335.1	0.31	0.0
gene:Solyc00g500338.1	0.0	0.0
gene:Solyc00g500339.1	0.0	0.0
gene:Solyc00g500340.1	0.0	0.0
gene:Solyc00g500341.1	0.0	0.0
gene:Solyc00g500342.1	0.0	0.0
gene:Solyc00g500343.1	0.76	0.59
gene:Solyc00g500344.1	0.0	0.0
gene:Solyc00g500345.1	0.04	0.0
gene:Solyc00g500346.1	0.0	0.0
gene:Solyc00g500347.1	0.0	0.0
gene:Solyc00g500348.1	0.04	0.0
gene:Solyc00g500349.1	0.06	0.0
gene:Solyc00g500350.1	0.0	0.02
gene:Solyc00g500351.1	0.05	0.09
gene:Solyc00g500353.1	0.0	0.0
gene:Solyc00g500355.1	0.0	0.0
gene:Solyc00g500356.1	0.0	0.0
gene:Solyc00g500357.1	0.0	0.0
gene:Solyc00g500358.1	2.17	0.38
gene:Solyc00g500359.1	0.17	0.09
gene:Solyc00g500360.1	0.21	0.07
gene:Solyc00g500361.1	0.23	0.07
gene:Solyc00g500362.1	0.07	0.0
gene:Solyc00g500363.1	0.0	0.0
gene:Solyc00g500364.1	0.11	0.04
gene:Solyc00g500365.1	0.0	0.0
gene:Solyc00g500366.1	0.0	0.0
gene:Solyc00g500367.1	0.0	0.0
gene:Solyc00g500368.1	0.0	0.0
gene:Solyc00g500369.1	0.0	0.0
gene:Solyc00g500370.1	0.0	0.0
gene:Solyc00g500371.1	0.0	0.0
gene:Solyc00g500372.1	0.0	0.0
gene:Solyc00g500373.1	6.59	8.05
